id,ec_number
504,2.3.1.12
505,2.3.1.235
506,2.3.1.29
507,2.3.1.116
508,2.3.1.39
509,2.3.1.94
510,2.3.2.1
511,2.3.1.145
512,2.3.1.276
513,2.3.1.72
514,2.3.1.180
515,2.3.1.247
516,2.3.1.240
517,2.3.1.196
518,2.2.1.14
519,2.3.1.14
520,2.3.1.232
521,2.3.1.167
522,2.3.1.156
523,2.3.1.253
524,2.3.1.89
525,2.3.1.213
526,2.3.1.112
527,2.3.1.129
528,2.3.1.288
529,2.3.1.202
530,2.3.1.302
531,2.3.1.38
532,2.3.1.280
533,2.3.1.291
534,2.3.1.262
535,2.3.1.217
536,2.3.1.212
537,2.3.1.225
538,2.3.1.66
539,2.3.1.184
540,2.3.1.273
541,2.3.1.203
542,2.3.1.111
543,2.3.1.229
544,2.3.1.206
545,2.2.1.10
546,2.3.1.263
547,2.3.1.48
548,2.3.1.223
549,2.3.1.78
550,2.3.1.209
551,2.3.2.14
552,2.3.1.285
553,2.3.1.255
554,2.3.2.7
555,2.3.2.8
556,2.3.1.127
557,2.3.1.201
558,2.3.1.32
559,2.3.1.3
560,2.3.1.11
561,2.3.1.210
562,2.3.1.239
563,2.3.1.125
564,2.3.1.307
565,2.3.1.264
566,2.3.1.34
567,2.3.1.194
568,2.3.1.157
569,2.3.1.279
570,2.3.1.142
571,2.3.1.236
572,2.3.1.249
573,2.3.1.290
574,2.3.1.113
575,2.3.1.136
576,2.3.1.88
577,2.3.1.284
578,2.3.1.237
579,2.3.2.12
580,2.3.1.259
